,STNAME,CTYNAME,YEAR,MME,FIPS,Population,mme_per_cap
0,AL,AUTAUGA,2006,17100542.22475,1001,51328,333.1620601767067
1,AL,AUTAUGA,2007,19157840.48365,1001,52405,365.57275992080906
2,AL,AUTAUGA,2008,21786153.1253875,1001,53277,408.9222952754003
3,AL,AUTAUGA,2009,24441576.8683875,1001,54135,451.4930612060128
4,AL,AUTAUGA,2010,26183323.1679375,1001,54761,478.1381488274045
5,AL,AUTAUGA,2011,28462413.792937502,1001,55229,515.3526913928824
6,AL,AUTAUGA,2012,30268944.3618,1001,54970,550.6447946479898
7,AL,AUTAUGA,2013,29963758.162725,1001,54747,547.3132438804867
8,AL,AUTAUGA,2014,30352088.8245375,1001,54922,552.6399043104311
9,AL,AUTAUGA,2015,28643150.037,1001,54903,521.7046434074641
10,AL,AUTAUGA,2016,26072163.5925,1001,55302,471.45064541065426
11,AL,AUTAUGA,2017,21926655.135,1001,55448,395.44537467537157
12,AL,AUTAUGA,2018,18347112.6825,1001,55533,330.382163443358
13,AL,AUTAUGA,2019,15168907.5825,1001,55769,271.9953304255052
14,AL,BALDWIN,2006,51039829.050325,1003,168121,303.5898492771575
15,AL,BALDWIN,2007,60330679.8214875,1003,172404,349.9378194327713
16,AL,BALDWIN,2008,66829809.691175,1003,175827,380.0884374480313
17,AL,BALDWIN,2009,76393639.31831251,1003,179406,425.8142944957945
18,AL,BALDWIN,2010,88833418.76955,1003,183121,485.1077635527875
19,AL,BALDWIN,2011,107713197.1339125,1003,186579,577.3061123380043
20,AL,BALDWIN,2012,128952404.14125,1003,190203,677.972503805145
21,AL,BALDWIN,2013,130467973.23997499,1003,194978,669.1420223818841
22,AL,BALDWIN,2014,131068662.79755001,1003,199306,657.6252736874454
23,AL,BALDWIN,2015,127843768.49265,1003,203101,629.4590794365857
24,AL,BALDWIN,2016,115556245.0668,1003,207787,556.1283673511817
25,AL,BALDWIN,2017,94992051.61140001,1003,212737,446.5234144102813
26,AL,BALDWIN,2018,75297288.975,1003,218071,345.28795197435693
27,AL,BALDWIN,2019,63824769.4239,1003,223565,285.48641077046943
28,AL,BARBOUR,2006,5764019.1225000005,1005,27861,206.88486136534942
29,AL,BARBOUR,2007,6377610.1124875,1005,27757,229.76582888955937
30,AL,BARBOUR,2008,7119361.857725001,1005,27808,256.0184787731948
31,AL,BARBOUR,2009,7919093.19,1005,27657,286.33232780128
32,AL,BARBOUR,2010,8604301.552725,1005,27325,314.88752251509607
33,AL,BARBOUR,2011,9153569.040225,1005,27344,334.75603570161644
34,AL,BARBOUR,2012,10314959.692950001,1005,27172,379.61724175437956
35,AL,BARBOUR,2013,9774754.773862502,1005,26946,362.7534615105211
36,AL,BARBOUR,2014,9099138.135,1005,26768,339.92596140914526
37,AL,BARBOUR,2015,8538404.7075,1005,26300,324.65417138783266
38,AL,BARBOUR,2016,8129383.215,1005,25828,314.7507826777141
39,AL,BARBOUR,2017,7270015.515,1005,25169,288.84800806547736
40,AL,BARBOUR,2018,6814450.0200000005,1005,24887,273.81564752682124
41,AL,BARBOUR,2019,5805252.735,1005,24657,235.4403510159387
42,AL,BIBB,2006,6278096.5395,1007,22099,284.0896212272049
43,AL,BIBB,2007,7109824.5855,1007,22438,316.8653438586327
44,AL,BIBB,2008,8592971.6075,1007,22705,378.4616431402775
45,AL,BIBB,2009,8668235.5313625,1007,22941,377.8490707189094
46,AL,BIBB,2010,9218386.56,1007,22858,403.2892886516756
47,AL,BIBB,2011,10732565.910225,1007,22736,472.0516322231263
48,AL,BIBB,2012,11418213.2738625,1007,22657,503.9596272173059
49,AL,BIBB,2013,11946462.645000001,1007,22510,530.7180206574857
50,AL,BIBB,2014,12889481.025,1007,22541,571.8238332372122
51,AL,BIBB,2015,12270686.22,1007,22553,544.0822161131557
52,AL,BIBB,2016,12159715.7325,1007,22590,538.2786955511289
53,AL,BIBB,2017,10856413.7775,1007,22532,481.8220210145571
54,AL,BIBB,2018,9051337.725,1007,22300,405.8895840807175
55,AL,BIBB,2019,7704328.89,1007,22313,345.2843136288262
56,AL,BLOUNT,2006,10418423.3300875,1009,55485,187.77008795327566
57,AL,BLOUNT,2007,10636335.68895,1009,56240,189.12403429854197
58,AL,BLOUNT,2008,11026019.067725,1009,57055,193.25245934142495
59,AL,BLOUNT,2009,12821946.7163625,1009,57341,223.60870435399627
60,AL,BLOUNT,2010,13647039.7240875,1009,57372,237.8693391216534
61,AL,BLOUNT,2011,16131819.7165875,1009,57561,280.25607123898993
62,AL,BLOUNT,2012,17702566.9613625,1009,57585,307.4162882931753
63,AL,BLOUNT,2013,17164642.17,1009,57630,297.84213378448726
64,AL,BLOUNT,2014,16956216.8663625,1009,57536,294.7062163925629
65,AL,BLOUNT,2015,16505591.6742,1009,57535,286.8791461579908
66,AL,BLOUNT,2016,15184484.355,1009,57487,264.13770687285825
67,AL,BLOUNT,2017,13322475.9675,1009,57801,230.48867610421965
68,AL,BLOUNT,2018,12386022.8925,1009,57770,214.40233499221048
69,AL,BLOUNT,2019,10753947.24,1009,57840,185.92578215767637
70,AL,BULLOCK,2006,549354.8185,1011,10776,50.97947461952487
71,AL,BULLOCK,2007,748669.6108625,1011,11011,67.9928808339388
72,AL,BULLOCK,2008,964690.4893125,1011,10953,88.0754578026568
73,AL,BULLOCK,2009,1437891.105,1011,10987,130.8720401383453
74,AL,BULLOCK,2010,1993978.125,1011,10876,183.3374517285767
75,AL,BULLOCK,2011,2430626.5425,1011,10680,227.58675491573032
76,AL,BULLOCK,2012,2553625.845225,1011,10610,240.68104102026388
77,AL,BULLOCK,2013,2541195.9074999997,1011,10557,240.71193591929523
78,AL,BULLOCK,2014,2454815.5725,1011,10668,230.11019614735656
79,AL,BULLOCK,2015,1672611.0,1011,10404,160.7661476355248
80,AL,BULLOCK,2016,1700652.5325,1011,10397,163.57146604789844
81,AL,BULLOCK,2017,1630262.1675,1011,10181,160.12790172871033
82,AL,BULLOCK,2018,1477525.845,1011,10165,145.3542395474668
83,AL,BULLOCK,2019,1413502.7625,1011,10144,139.3437265871451
84,AL,BUTLER,2006,3828924.5140875,1013,20815,183.9502528987509
85,AL,BUTLER,2007,4784119.520225,1013,20894,228.97097349597968
86,AL,BUTLER,2008,5867209.0625,1013,20949,280.0710803618311
87,AL,BUTLER,2009,6637616.9325,1013,20867,318.09157677193656
88,AL,BUTLER,2010,7285335.862500001,1013,20933,348.0311404242106
89,AL,BUTLER,2011,9103772.83545,1013,20867,436.2760739660708
90,AL,BUTLER,2012,9418396.902037501,1013,20672,455.61130524562213
91,AL,BUTLER,2013,8314482.241125001,1013,20359,408.39344963529646
92,AL,BUTLER,2014,9207120.945225,1013,20332,452.8389211698308
93,AL,BUTLER,2015,9700238.58,1013,20168,480.9717661642205
94,AL,BUTLER,2016,8303282.7,1013,20040,414.3354640718563
95,AL,BUTLER,2017,7240932.6675,1013,19911,363.66494236854004
96,AL,BUTLER,2018,5979606.03,1013,19675,303.91898500635324
97,AL,BUTLER,2019,5050729.2675,1013,19501,258.99847533459825
98,AL,CALHOUN,2006,45576375.991987504,1015,115388,394.983672409501
99,AL,CALHOUN,2007,56254867.707425,1015,116211,484.0752399293096
100,AL,CALHOUN,2008,59702262.14175,1015,117274,509.08353208511693
101,AL,CALHOUN,2009,66391403.172749996,1015,118363,560.9134879375312
102,AL,CALHOUN,2010,73334177.2870125,1015,118420,619.2718906182444
103,AL,CALHOUN,2011,80806353.29703751,1015,117767,686.1544685441381
104,AL,CALHOUN,2012,90583558.85816249,1015,117227,772.7192443563556
105,AL,CALHOUN,2013,90542981.84658751,1015,116528,777.0062289457255
106,AL,CALHOUN,2014,92522806.5047625,1015,115991,797.6722892703959
107,AL,CALHOUN,2015,95820184.3062,1015,115550,829.2530013517958
108,AL,CALHOUN,2016,92926364.23545,1015,115036,807.8024638847838
109,AL,CALHOUN,2017,77310237.70515001,1015,114746,673.7510475759505
110,AL,CALHOUN,2018,67419389.13,1015,114298,589.8562453411258
111,AL,CALHOUN,2019,53750435.4375,1015,114070,471.2057108573683
112,AL,CHAMBERS,2006,13604605.5375,1017,34945,389.314795750465
113,AL,CHAMBERS,2007,13995736.1488625,1017,34847,401.63388954178265
114,AL,CHAMBERS,2008,16042429.827725,1017,34563,464.1503870533519
115,AL,CHAMBERS,2009,16464606.574537499,1017,34384,478.8450027494619
116,AL,CHAMBERS,2010,17094994.465575002,1017,34105,501.2459893146167
117,AL,CHAMBERS,2011,23380895.3513625,1017,34016,687.3499338947113
118,AL,CHAMBERS,2012,20631372.6975,1017,34088,605.2385794854495
119,AL,CHAMBERS,2013,19613931.2288625,1017,34125,574.7672154978022
120,AL,CHAMBERS,2014,19118152.2193125,1017,33964,562.8946007334972
121,AL,CHAMBERS,2015,18318493.152,1017,33991,538.9218661410373
122,AL,CHAMBERS,2016,17406891.1278,1017,33742,515.8820202655444
123,AL,CHAMBERS,2017,15629406.27,1017,33716,463.560513406098
124,AL,CHAMBERS,2018,15083969.01,1017,33570,449.32883556747095
125,AL,CHAMBERS,2019,13560891.450000001,1017,33244,407.9199690169655
126,AL,CHEROKEE,2006,10096068.205,1019,25466,396.452847129506
127,AL,CHEROKEE,2007,13339200.3893,1019,25553,522.0209129769498
128,AL,CHEROKEE,2008,14372506.067475,1019,25636,560.6376216053596
129,AL,CHEROKEE,2009,16395068.6520375,1019,25854,634.1405063834416
130,AL,CHEROKEE,2010,18188329.6763625,1019,25968,700.4131883996649
131,AL,CHEROKEE,2011,21114730.8975,1019,25993,812.3237370638249
132,AL,CHEROKEE,2012,23009087.58,1019,25961,886.2943484457455
133,AL,CHEROKEE,2013,23099614.32,1019,26022,887.6955775881946
134,AL,CHEROKEE,2014,23020045.5788625,1019,25900,888.8048486047297
135,AL,CHEROKEE,2015,22068449.9964,1019,25739,857.3934494891021
136,AL,CHEROKEE,2016,21568553.9775,1019,25769,836.9961573014086
137,AL,CHEROKEE,2017,18474273.525,1019,25822,715.4470422507939
138,AL,CHEROKEE,2018,17277318.0525,1019,26035,663.6188996543115
139,AL,CHEROKEE,2019,15418743.1425,1019,26254,587.2911991506056
140,AL,CHILTON,2006,14249522.659812499,1021,42318,336.7248608112978
141,AL,CHILTON,2007,15266380.4509875,1021,42881,356.0173608588302
142,AL,CHILTON,2008,16460104.0466125,1021,43239,380.6772600340549
143,AL,CHILTON,2009,17674065.107924998,1021,43484,406.4498461025894
144,AL,CHILTON,2010,18262252.570425,1021,43645,418.42714103390995
145,AL,CHILTON,2011,21758256.278175,1021,43682,498.10577075626117
146,AL,CHILTON,2012,24507454.052475,1021,43572,562.4587820727761
147,AL,CHILTON,2013,26507106.7697625,1021,43617,607.724207757583
148,AL,CHILTON,2014,27670037.853862498,1021,43751,632.4435522356631
149,AL,CHILTON,2015,26829963.7989,1021,43693,614.0563430961481
150,AL,CHILTON,2016,25071288.73125,1021,43854,571.6990179060062
151,AL,CHILTON,2017,22272015.5025,1021,44085,505.20620398094593
152,AL,CHILTON,2018,18627922.4925,1021,44084,422.55517857953
153,AL,CHILTON,2019,15829165.875,1021,44313,357.21268871437275
154,AL,CHOCTAW,2006,4168146.56495,1023,14431,288.8328296687686
155,AL,CHOCTAW,2007,4858810.8579375,1023,14216,341.7846692415236
156,AL,CHOCTAW,2008,5140032.9368,1023,14114,364.1797461244155
157,AL,CHOCTAW,2009,5125220.4645374995,1023,13976,366.7158317499642
158,AL,CHOCTAW,2010,5949056.49,1023,13848,429.59680025996533
159,AL,CHOCTAW,2011,6700893.96,1023,13608,492.42313051146385
160,AL,CHOCTAW,2012,7934546.0926125,1023,13565,584.9278357989311
161,AL,CHOCTAW,2013,8058070.2375,1023,13401,601.3036517797179
162,AL,CHOCTAW,2014,7298232.825,1023,13322,547.833120027023
163,AL,CHOCTAW,2015,6493705.274999999,1023,13237,490.57228035053254
164,AL,CHOCTAW,2016,7064074.4925,1023,13049,541.3498729787723
165,AL,CHOCTAW,2017,6912398.4975000005,1023,12923,534.8911628491836
166,AL,CHOCTAW,2018,5871285.6834,1023,12810,458.33611892271665
167,AL,CHOCTAW,2019,4803628.6326,1023,12577,381.9375552675519
168,AL,CLARKE,2006,5063858.757449999,1025,26755,189.2677539693515
169,AL,CLARKE,2007,6270496.200175,1025,26436,237.19534726036466
170,AL,CLARKE,2008,6588210.366125,1025,26283,250.66432165753528
171,AL,CLARKE,2009,7651943.5509,1025,26038,293.8760100967816
172,AL,CLARKE,2010,8774652.7093125,1025,25767,340.53839055041334
173,AL,CLARKE,2011,10136684.63295,1025,25589,396.1344574993161
174,AL,CLARKE,2012,11874978.098175,1025,25161,471.9597034368666
175,AL,CLARKE,2013,12941984.205000002,1025,25131,514.9808684493256
176,AL,CLARKE,2014,13705458.3525,1025,24873,551.0175030153177
177,AL,CLARKE,2015,13209900.2625,1025,24711,534.5757056573995
178,AL,CLARKE,2016,13235478.9375,1025,24342,543.7301346438255
179,AL,CLARKE,2017,12742680.96,1025,24083,529.1151833243367
180,AL,CLARKE,2018,10986126.1125,1025,23965,458.42378938034636
181,AL,CLARKE,2019,9308208.1725,1025,23651,393.5650996786605
182,AL,CLAY,2006,3244174.99,1027,14053,230.85284209777274
183,AL,CLAY,2007,3830310.9838624997,1027,14085,271.9425618645722
184,AL,CLAY,2008,4652726.585,1027,14161,328.55918261422215
185,AL,CLAY,2009,4836376.935,1027,14006,345.30750642581745
186,AL,CLAY,2010,4434850.29,1027,13897,319.12285313376987
187,AL,CLAY,2011,5531854.1813624995,1027,13687,404.1684942911156
188,AL,CLAY,2012,6418655.625,1027,13433,477.82741197052036
189,AL,CLAY,2013,7667663.22,1027,13406,571.957572728629
190,AL,CLAY,2014,7451438.1375,1027,13443,554.2987530685115
191,AL,CLAY,2015,6697616.7525,1027,13415,499.26326891539327
192,AL,CLAY,2016,7027675.59765,1027,13393,524.7275141977152
193,AL,CLAY,2017,5698972.6275,1027,13355,426.7295116061401
194,AL,CLAY,2018,4787587.8675,1027,13301,359.9419492895271
195,AL,CLAY,2019,4377520.695,1027,13265,330.0053294383717
196,AL,CLEBURNE,2006,1793585.835,1029,14538,123.37225443664877
197,AL,CLEBURNE,2007,1973790.825,1029,14799,133.3732566389621
198,AL,CLEBURNE,2008,2148062.1750000003,1029,14874,144.4172498991529
199,AL,CLEBURNE,2009,2736044.5125,1029,14918,183.40558469634001
200,AL,CLEBURNE,2010,2597359.1663625003,1029,15004,173.11111479355506
201,AL,CLEBURNE,2011,3046828.3538625003,1029,14928,204.10157783108926
202,AL,CLEBURNE,2012,3372837.2213625,1029,14889,226.53215268738666
203,AL,CLEBURNE,2013,3350305.215,1029,14974,223.74149959930546
204,AL,CLEBURNE,2014,3609769.65,1029,15029,240.1869485661055
205,AL,CLEBURNE,2015,3737476.7625,1029,14923,250.4507647590967
206,AL,CLEBURNE,2016,3768650.0325,1029,14871,253.42277133346784
207,AL,CLEBURNE,2017,3257200.365,1029,14924,218.25250368533906
208,AL,CLEBURNE,2018,3259373.865,1029,15047,216.61287067189474
209,AL,CLEBURNE,2019,2685923.355,1029,14952,179.636393459069
210,AL,COFFEE,2006,10784062.700225,1031,46228,233.2798888168426
211,AL,COFFEE,2007,12091013.706725,1031,47458,254.77292989011335
212,AL,COFFEE,2008,13587094.242225,1031,48516,280.0538841253401
213,AL,COFFEE,2009,14369579.903175,1031,49440,290.64684270175974
214,AL,COFFEE,2010,17133351.96795,1031,50204,341.27463883256314
215,AL,COFFEE,2011,19743397.1663625,1031,50449,391.35358810605766
216,AL,COFFEE,2012,20477334.4165875,1031,51159,400.26846530595793
217,AL,COFFEE,2013,18994124.535,1031,50709,374.57107288646984
218,AL,COFFEE,2014,19017188.055225,1031,50693,375.1442616381946
219,AL,COFFEE,2015,18685669.98,1031,51004,366.35695200376443
220,AL,COFFEE,2016,19569494.22375,1031,51281,381.6129604288138
221,AL,COFFEE,2017,17906564.2725,1031,51943,344.7348877134551
222,AL,COFFEE,2018,15785003.6889,1031,52097,302.9925655776724
223,AL,COFFEE,2019,13598360.355,1031,52639,258.33242187351584
224,AL,COLBERT,2006,29690486.374450002,1033,54413,545.650605084263
225,AL,COLBERT,2007,32724868.89305,1033,54486,600.6105952547443
226,AL,COLBERT,2008,37825637.1526875,1033,54473,694.3923990359903
227,AL,COLBERT,2009,36738820.169062495,1033,54426,675.0233375420295
228,AL,COLBERT,2010,38456802.44385,1033,54527,705.2799978698627
229,AL,COLBERT,2011,45465077.0754375,1033,54545,833.5333591610139
230,AL,COLBERT,2012,46859799.084075004,1033,54578,858.5840280712926
231,AL,COLBERT,2013,54873332.60703751,1033,54544,1006.0379254737003
232,AL,COLBERT,2014,53855222.193862505,1033,54484,988.459404483197
233,AL,COLBERT,2015,58853191.245,1033,54439,1081.0850905600764
234,AL,COLBERT,2016,56731012.545,1033,54483,1041.2608069489565
235,AL,COLBERT,2017,48636168.8775,1033,54682,889.4365399491605
236,AL,COLBERT,2018,40381844.43,1033,54970,734.6160529379662
237,AL,COLBERT,2019,36152649.0525,1033,55241,654.453196946109
238,AL,CONECUH,2006,4305366.1295,1035,13603,316.5012224876865
239,AL,CONECUH,2007,5456166.0285,1035,13441,405.93453080127966
240,AL,CONECUH,2008,6171998.8485,1035,13388,461.0097735658799
241,AL,CONECUH,2009,6636305.2238625,1035,13274,499.9476588716664
242,AL,CONECUH,2010,7116748.6688625,1035,13234,537.7624806454965
243,AL,CONECUH,2011,7520159.591812501,1035,13194,569.9681364114371
244,AL,CONECUH,2012,8843059.8118125,1035,13043,677.9927786408418
245,AL,CONECUH,2013,9823028.752725,1035,12908,761.0031571680353
246,AL,CONECUH,2014,5792404.395225001,1035,12674,457.0304872356794
247,AL,CONECUH,2015,4111772.8125,1035,12677,324.3490425573874
248,AL,CONECUH,2016,3674072.5125,1035,12495,294.04341836734693
249,AL,CONECUH,2017,3756228.8475,1035,12431,302.1662655860349
250,AL,CONECUH,2018,3991997.7225,1035,12264,325.5053589774951
251,AL,CONECUH,2019,4743171.0825000005,1035,12055,393.4608944421402
252,AL,COOSA,2006,983094.235,1037,11451,85.85226050126626
253,AL,COOSA,2007,1203578.6225,1037,11439,105.21711884780139
254,AL,COOSA,2008,915119.3565875,1037,11493,79.62406304598451
255,AL,COOSA,2009,1037495.925,1037,11410,90.92865249780894
256,AL,COOSA,2010,1312869.69,1037,11779,111.45850157059172
257,AL,COOSA,2011,1278147.885,1037,11483,111.3078363668031
258,AL,COOSA,2012,1292180.1900000002,1037,11343,113.91873313938113
259,AL,COOSA,2013,1309096.5225,1037,11252,116.34345205296836
260,AL,COOSA,2014,971869.3125,1037,11037,88.05556876868714
261,AL,COOSA,2015,729937.9425,1037,10935,66.75244101508916
262,AL,COOSA,2016,777636.7125,1037,10812,71.92348432297447
263,AL,COOSA,2017,739384.4925,1037,10724,68.94670761842596
264,AL,COOSA,2018,728226.675,1037,10619,68.577707411244
265,AL,COOSA,2019,667020.3975,1037,10677,62.47264189379039
266,AL,COVINGTON,2006,11899851.4158625,1039,37441,317.82942271473786
267,AL,COVINGTON,2007,14592357.314225,1039,37631,387.7749013904759
268,AL,COVINGTON,2008,15958022.9085875,1039,37545,425.0372328828739
269,AL,COVINGTON,2009,17504584.08045,1039,37648,464.9538907896833
270,AL,COVINGTON,2010,19629040.647675,1039,37810,519.1494484970907
271,AL,COVINGTON,2011,20595896.708625,1039,38023,541.6694292566341
272,AL,COVINGTON,2012,21553367.9740875,1039,37809,570.0591915704593
273,AL,COVINGTON,2013,25393339.5,1039,37820,671.4262162876785
274,AL,COVINGTON,2014,29876524.582725,1039,37766,791.0958158853201
275,AL,COVINGTON,2015,31085014.5303,1039,37566,827.4773606532502
276,AL,COVINGTON,2016,29953608.43875,1039,37400,800.8986213569518
277,AL,COVINGTON,2017,24299940.555,1039,37077,655.3912278501497
278,AL,COVINGTON,2018,23835082.6875,1039,36993,644.3133211012895
279,AL,COVINGTON,2019,20511368.925,1039,37082,553.1354545331967
280,AL,CRENSHAW,2006,2077477.0075,1041,13880,149.67413598703172
281,AL,CRENSHAW,2007,2458112.6175,1041,13956,176.13303364144454
282,AL,CRENSHAW,2008,2791812.44,1041,13922,200.53242637552074
283,AL,CRENSHAW,2009,3155478.4275,1041,14024,225.00559237735314
284,AL,CRENSHAW,2010,3416460.2175000003,1041,13868,246.35565456446497
285,AL,CRENSHAW,2011,3715434.765,1041,13894,267.4128951345905
286,AL,CRENSHAW,2012,4224523.6838625,1041,13914,303.6167661249461
287,AL,CRENSHAW,2013,4355058.825,1041,13847,314.51280602296526
288,AL,CRENSHAW,2014,4269602.205,1041,13851,308.25227095516567
289,AL,CRENSHAW,2015,4375742.9625,1041,13851,315.9153102664068
290,AL,CRENSHAW,2016,3970617.1125,1041,13911,285.430027496226
291,AL,CRENSHAW,2017,3553831.77,1041,13871,256.20588061423115
292,AL,CRENSHAW,2018,3332529.75,1041,13855,240.52903284012993
293,AL,CRENSHAW,2019,2805530.0325,1041,13811,203.13735663601477
294,AL,CULLMAN,2006,27960221.2343625,1043,79044,353.7298369814597
295,AL,CULLMAN,2007,34219140.092175,1043,79576,430.0183483987006
296,AL,CULLMAN,2008,36175080.0672625,1043,80273,450.6506554789593
297,AL,CULLMAN,2009,38875003.590450004,1043,80351,483.8148074131001
298,AL,CULLMAN,2010,41201189.025000006,1043,80456,512.0959160907826
299,AL,CULLMAN,2011,46280969.401125,1043,80419,575.4979470165632
300,AL,CULLMAN,2012,48030647.2686,1043,80292,598.1996620908684
301,AL,CULLMAN,2013,51717199.385887496,1043,80704,640.8257259353625
302,AL,CULLMAN,2014,58319717.0604375,1043,81081,719.2772296892922
303,AL,CULLMAN,2015,60908461.4244,1043,81771,744.8662903034083
304,AL,CULLMAN,2016,57795981.13695,1043,82434,701.1182417079118
305,AL,CULLMAN,2017,50599730.21295,1043,82830,610.8865171187975
306,AL,CULLMAN,2018,40974354.4578,1043,83300,491.8890090972389
307,AL,CULLMAN,2019,34269525.9225,1043,83644,409.7069236586007
308,AL,DALE,2006,9252580.240087502,1045,49077,188.53190374488054
309,AL,DALE,2007,10507263.29145,1045,49488,212.31941665555286
310,AL,DALE,2008,11881912.582175,1045,49871,238.25294423963825
311,AL,DALE,2009,14693313.856125,1045,49854,294.72687961096403
312,AL,DALE,2010,17337321.47295,1045,50396,344.02177698527663
313,AL,DALE,2011,19593417.58545,1045,50134,390.8209515588224
314,AL,DALE,2012,18735342.8409,1045,50313,372.37578440760836
315,AL,DALE,2013,15212997.510225,1045,49807,305.4389445303873
316,AL,DALE,2014,13671834.907725,1045,49465,276.3941151870009
317,AL,DALE,2015,13984579.815,1045,49428,282.9282960063122
318,AL,DALE,2016,13726699.22265,1045,49476,277.441572128911
319,AL,DALE,2017,12064975.11,1045,49467,243.8994705561283
320,AL,DALE,2018,10729071.4464,1045,49268,217.7695755135179
321,AL,DALE,2019,9516333.1125,1045,49294,193.05256446017773
322,AL,DALLAS,2006,8232200.157,1047,44323,185.73201626694944
323,AL,DALLAS,2007,11931730.3688625,1047,44194,269.98530046754087
324,AL,DALLAS,2008,14590936.0383625,1047,44265,329.62692959138144
325,AL,DALLAS,2009,14266045.9345125,1047,43759,326.01398419782214
326,AL,DALLAS,2010,13630100.78745,1047,43855,310.7992426735834
327,AL,DALLAS,2011,14120372.584725,1047,43254,326.45241098453323
328,AL,DALLAS,2012,15079733.4910875,1047,42794,352.37962076663786
329,AL,DALLAS,2013,15031512.5436,1047,41981,358.0551331221267
330,AL,DALLAS,2014,14221013.5572375,1047,41560,342.1803069595164
331,AL,DALLAS,2015,14552023.1064,1047,40947,355.38679528170564
332,AL,DALLAS,2016,14645610.4197,1047,40105,365.18165863857377
333,AL,DALLAS,2017,11892221.0304,1047,39263,302.88620406998956
334,AL,DALLAS,2018,6891166.7304,1047,38270,180.06706899399006
335,AL,DALLAS,2019,6310601.3895,1047,37182,169.72194582055832
336,AL,ELMORE,2006,14627439.5282625,1051,75246,194.3949117330157
337,AL,ELMORE,2007,17861630.8709625,1051,77124,231.5962718604131
338,AL,ELMORE,2008,21186490.081924997,1051,77698,272.67741874855204
339,AL,ELMORE,2009,23503923.306787502,1051,78632,298.9104093344631
340,AL,ELMORE,2010,25964666.3686125,1051,79558,326.3614767667928
341,AL,ELMORE,2011,31655705.66655,1051,80005,395.67159135741514
342,AL,ELMORE,2012,35339260.077,1051,80211,440.57872457642964
343,AL,ELMORE,2013,33723731.2342875,1051,80557,418.6319157154251
344,AL,ELMORE,2014,36597145.7486625,1051,80563,454.2674149257414
345,AL,ELMORE,2015,37767599.955299996,1051,80903,466.82570430391945
346,AL,ELMORE,2016,38191070.475,1051,81258,469.9976676142657
347,AL,ELMORE,2017,33339305.04,1051,81452,409.31229484849973
348,AL,ELMORE,2018,26979623.07,1051,81189,332.3063847319218
349,AL,ELMORE,2019,24081503.535,1051,81575,295.206908182654
350,AL,ESCAMBIA,2006,12538987.860725,1053,37673,332.8375191974358
351,AL,ESCAMBIA,2007,13073247.925487502,1053,37839,345.49665491919717
352,AL,ESCAMBIA,2008,14679957.7892625,1053,37929,387.03782829134695
353,AL,ESCAMBIA,2009,15407451.5970375,1053,38249,402.81972331400823
354,AL,ESCAMBIA,2010,17949102.6563625,1053,38352,468.0095602931399
355,AL,ESCAMBIA,2011,18723127.631362498,1053,38211,489.99313368827035
356,AL,ESCAMBIA,2012,17939535.195225,1053,38029,471.7330246713035
357,AL,ESCAMBIA,2013,21159864.263175,1053,37775,560.1552419106551
358,AL,ESCAMBIA,2014,22271371.6545375,1053,37749,589.9857388152666
359,AL,ESCAMBIA,2015,24638319.4464,1053,37676,653.9526342074531
360,AL,ESCAMBIA,2016,24624882.7314,1053,37500,656.663539504
361,AL,ESCAMBIA,2017,23108751.9339,1053,37010,624.3921084544718
362,AL,ESCAMBIA,2018,18763374.3864,1053,36515,513.853878855265
363,AL,ESCAMBIA,2019,16008719.2389,1053,36569,437.7674871858678
364,AL,ETOWAH,2006,65594549.8576,1055,103528,633.5923601112743
365,AL,ETOWAH,2007,81250907.2504875,1055,103893,782.0633464284168
366,AL,ETOWAH,2008,89650489.797625,1055,104206,860.3198452836209
367,AL,ETOWAH,2009,95394769.6069875,1055,104239,915.1543050776341
368,AL,ETOWAH,2010,101006222.8222125,1055,104440,967.1220109365426
369,AL,ETOWAH,2011,111313630.05472499,1055,104356,1066.6720653793263
370,AL,ETOWAH,2012,120655544.0381625,1055,104271,1157.1342371144663
371,AL,ETOWAH,2013,116010912.56295,1055,103891,1116.6598893354574
372,AL,ETOWAH,2014,115523601.92385,1055,103417,1117.0658781810534
373,AL,ETOWAH,2015,109239673.722,1055,103033,1060.2396680869235
374,AL,ETOWAH,2016,94593210.79605,1055,102931,918.9963256555362
375,AL,ETOWAH,2017,77085561.9342,1055,103076,747.8517010186658
376,AL,ETOWAH,2018,71772540.43530001,1055,102766,698.4074541706402
377,AL,ETOWAH,2019,62921013.795,1055,102460,614.1031992484873
378,AL,FAYETTE,2006,3990016.5225,1057,17767,224.57457772837282
379,AL,FAYETTE,2007,4278273.8,1057,17523,244.15190321292016
380,AL,FAYETTE,2008,4970348.3549999995,1057,17541,283.35604327005296
381,AL,FAYETTE,2009,5157135.2625,1057,17310,297.92809142114385
382,AL,FAYETTE,2010,5624533.6875,1057,17232,326.400515755571
383,AL,FAYETTE,2011,6855907.0613625,1057,17061,401.8467300487955
384,AL,FAYETTE,2012,8049841.335,1057,16955,474.77684075493954
385,AL,FAYETTE,2013,8801624.715,1057,16837,522.7549275405357
386,AL,FAYETTE,2014,10340504.6925,1057,16784,616.0929869220687
387,AL,FAYETTE,2015,7711955.025,1057,16711,461.4897387948058
388,AL,FAYETTE,2016,6537273.8475,1057,16581,394.26294237380137
389,AL,FAYETTE,2017,5462742.0,1057,16478,331.51729578832385
